iter	Passed	Remaining
533	14122	12324
534	14136	12287
535	14153	12252
536	14173	12220
537	14191	12186
538	14258	12194
539	14287	12170
540	14313	12144
541	14347	12123
542	14375	12098
543	14409	12078
544	14460	12072
545	14507	12062
546	14548	12048
547	14564	12012
548	14585	11981
549	14609	11953
550	14629	11921
551	14648	11888
552	14677	11864
553	14716	11847
554	14768	11841
555	14813	11829
556	14854	11813
557	14882	11788
558	14919	11770
559	14952	11748
560	14968	11713
561	14984	11678
562	15000	11643
563	15019	11610
564	15064	11598
565	15081	11564
566	15100	11531
567	15118	11498
568	15133	11463
569	15147	11427
570	15163	11392
571	15177	11356
572	15193	11321
573	15206	11286
574	15234	11260
575	15270	11241
576	15323	11233
577	15355	11211
578	15372	11177
579	15391	11145
580	15408	11112
581	15424	11077
582	15440	11044
583	15457	11010
584	15475	10978
585	15496	10948
586	15534	10930
587	15555	10899
10983
588	590	15198	10589	15765	10955
590	15811	10942
591	15861	10931
592	15912	10921
593	15927	10886
594	15974	10873
595	597	15458	10391
598	15472	10357
599	15492	10328
600	15535	10314
601	15583	10302
602	15600	10271
603	15649	10260
604	15686	10241
605	15710	10214
606	15744	10194
607	15783	10176
608	15801	10145
609	15816	10608	610	15835	10082
611	15851	10610	612	15869	10611	613	15910	10612	614	15923	9968
615	15939	9936
616	15976	9917
617	16013	9898
618	16042	9874
619	16059	9843
620	16076	9811
621	16093	9780
622	16107	9747
623	16125	9716
624	16140	9684
625	16186	9670
626	16205	9640
627	16222	9609
778	10024
626	16791	9989
627	16805	9954
628	16822	9922
629	16842	9891
630	16857	9857
631	16876	9826
632	16909	9803
633	16923	9769
634	16963	9750
635	17002	9731
781
636	17106	9748
637	17124	9716
638	17171	9700
639	17215	9683
640	17265	9669
641	17279	9635
643	17268	9545
644	17283	9512
645	17297	9478
646	17314	94644	17836	9817
645648	17364	93646649	17386	9361
650	17403	9329
651	17418	9296
652	17464	9280
653	17518	9268
654	17551	9244
655	17571	9214
656	17590	9183
657	17609	9152
658	17633	9124
659	17650	9092
660	17669	9061
661	17687	9030
662	17705	89660663	17720	89661664	17738	89662665	17791	89663666	17806	8890
667	17858	8875
	18317	9186
666	18339	9156
8761
670	17803	8729
671	17820	8698
672	17836	8666
673	17856	8636
674	17870	8604
675	17912	8676	17867	8524
677	17907	8504
521
678	17960	8490
679	18003	8472

681	18263	8516
682	18293	8490
683	18328	8467
683	18352	8478
684	18372	8448
685686	17994	81686687	18005	81687	18419	8353
688	18433	8320
689	18449	8289
690	18463	8256
691	18482	8226
692693	18146	80693694	18184	79694695	18225	79695	18630	8137
7936
	18363	7945
698	18409	7927
699	18427	7897
700	18478	7881
699701	18375	78700702	18421	7782
7988
4	7965
703	18868	7933
704	18896	7906
705	18933	7884
706	18956	785708	18576	7624
50
709	18673	7627
048	7818
709	19090	7797
	7522
08	7767
711	19152	7747
712	19170	7716
713	19220	7698
00
714	18992	7570
715	19008	7539
716	19022	7507
717	19037	7476
718	19078	7456
719	19101	7428
720	19147	7409
721	19161	7377
260
724	19062	7230
725	19080	7201
726	19095	7170
727	19110	7140
728	19127	7110
729	19143	7080
730	19160	7051
731	19184	7023
732	19200	6993
733	19218	6964
734	19248	6940
735	19264	6910
